max_depth, Accuracy, criterion
None, 0.9100835390165181, gini
1, 0.5050218340611353, gini
2, 0.5661097398898804, gini
3, 0.6115321815074996, gini
4, 0.6865730017087526, gini
5, 0.7284773115625593, gini
6, 0.7498651984051642, gini
7, 0.7821739130434782, gini
8, 0.802284032656161, gini
9, 0.8306550218340611, gini
10, 0.8406778052022025, gini
11, 0.8629314600341751, gini
12, 0.8786500854376307, gini
13, 0.8838997531801784, gini
14, 0.887383709891779, gini
15, 0.896992595405354, gini
16, 0.9000436681222708, gini
17, 0.9061553066261627, gini
18, 0.9048490601860643, gini
19, 0.9083387127397001, gini
20, 0.9100873362445414, gini
21, 0.9096487564078222, gini
22, 0.9083387127397, gini
23, 0.9113897854566166, gini
24, 0.9096487564078224, gini
25, 0.9100835390165181, gini
26, 0.9100835390165181, gini
27, 0.9100835390165181, gini
28, 0.9100835390165181, gini
29, 0.9100835390165181, gini
30, 0.9100835390165181, gini
31, 0.9100835390165181, gini
32, 0.9100835390165181, gini
33, 0.9100835390165181, gini
34, 0.9100835390165181, gini
35, 0.9100835390165181, gini
36, 0.9100835390165181, gini
37, 0.9100835390165181, gini
38, 0.9100835390165181, gini
39, 0.9100835390165181, gini
40, 0.9100835390165181, gini
41, 0.9100835390165181, gini
42, 0.9100835390165181, gini
43, 0.9100835390165181, gini
44, 0.9100835390165181, gini
45, 0.9100835390165181, gini
46, 0.9100835390165181, gini
47, 0.9100835390165181, gini
48, 0.9100835390165181, gini
49, 0.9100835390165181, gini
50, 0.9100835390165181, gini
51, 0.9100835390165181, gini
52, 0.9100835390165181, gini
53, 0.9100835390165181, gini
54, 0.9100835390165181, gini
55, 0.9100835390165181, gini
56, 0.9100835390165181, gini
57, 0.9100835390165181, gini
58, 0.9100835390165181, gini
59, 0.9100835390165181, gini
60, 0.9100835390165181, gini
61, 0.9100835390165181, gini
62, 0.9100835390165181, gini
63, 0.9100835390165181, gini
64, 0.9100835390165181, gini
65, 0.9100835390165181, gini
66, 0.9100835390165181, gini
67, 0.9100835390165181, gini
68, 0.9100835390165181, gini
69, 0.9100835390165181, gini
70, 0.9100835390165181, gini
71, 0.9100835390165181, gini
72, 0.9100835390165181, gini
73, 0.9100835390165181, gini
74, 0.9100835390165181, gini
75, 0.9100835390165181, gini
76, 0.9100835390165181, gini
77, 0.9100835390165181, gini
78, 0.9100835390165181, gini
79, 0.9100835390165181, gini
80, 0.9100835390165181, gini
81, 0.9100835390165181, gini
82, 0.9100835390165181, gini
83, 0.9100835390165181, gini
84, 0.9100835390165181, gini
85, 0.9100835390165181, gini
86, 0.9100835390165181, gini
87, 0.9100835390165181, gini
88, 0.9100835390165181, gini
89, 0.9100835390165181, gini
90, 0.9100835390165181, gini
91, 0.9100835390165181, gini
92, 0.9100835390165181, gini
93, 0.9100835390165181, gini
94, 0.9100835390165181, gini
95, 0.9100835390165181, gini
96, 0.9100835390165181, gini
97, 0.9100835390165181, gini
98, 0.9100835390165181, gini
99, 0.9100835390165181, gini
100, 0.9100835390165181, gini
None, 0.9004746535029428, entropy
1, 0.5050218340611353, entropy
2, 0.5281507499525347, entropy
3, 0.5547598253275109, entropy
4, 0.6412094171254984, entropy
5, 0.6926808429846212, entropy
6, 0.7140801215112967, entropy
7, 0.7524985760394911, entropy
8, 0.7738921587241314, entropy
9, 0.81099677235618, entropy
10, 0.8197209037402695, entropy
11, 0.8441598632997911, entropy
12, 0.8585608505790774, entropy
13, 0.8707822289728497, entropy
14, 0.8742851718245681, entropy
15, 0.8812644769318398, entropy
16, 0.8847579267134991, entropy
17, 0.8904366812227075, entropy
18, 0.8943611163850388, entropy
19, 0.8939244351623314, entropy
20, 0.8991646098348205, entropy
21, 0.8991646098348205, entropy
22, 0.9022213783937725, entropy
23, 0.9004746535029428, entropy
24, 0.9004746535029428, entropy
25, 0.9004746535029428, entropy
26, 0.9004746535029428, entropy
27, 0.9004746535029428, entropy
28, 0.9004746535029428, entropy
29, 0.9004746535029428, entropy
30, 0.9004746535029428, entropy
31, 0.9004746535029428, entropy
32, 0.9004746535029428, entropy
33, 0.9004746535029428, entropy
34, 0.9004746535029428, entropy
35, 0.9004746535029428, entropy
36, 0.9004746535029428, entropy
37, 0.9004746535029428, entropy
38, 0.9004746535029428, entropy
39, 0.9004746535029428, entropy
40, 0.9004746535029428, entropy
41, 0.9004746535029428, entropy
42, 0.9004746535029428, entropy
43, 0.9004746535029428, entropy
44, 0.9004746535029428, entropy
45, 0.9004746535029428, entropy
46, 0.9004746535029428, entropy
47, 0.9004746535029428, entropy
48, 0.9004746535029428, entropy
49, 0.9004746535029428, entropy
50, 0.9004746535029428, entropy
51, 0.9004746535029428, entropy
52, 0.9004746535029428, entropy
53, 0.9004746535029428, entropy
54, 0.9004746535029428, entropy
55, 0.9004746535029428, entropy
56, 0.9004746535029428, entropy
57, 0.9004746535029428, entropy
58, 0.9004746535029428, entropy
59, 0.9004746535029428, entropy
60, 0.9004746535029428, entropy
61, 0.9004746535029428, entropy
62, 0.9004746535029428, entropy
63, 0.9004746535029428, entropy
64, 0.9004746535029428, entropy
65, 0.9004746535029428, entropy
66, 0.9004746535029428, entropy
67, 0.9004746535029428, entropy
68, 0.9004746535029428, entropy
69, 0.9004746535029428, entropy
70, 0.9004746535029428, entropy
71, 0.9004746535029428, entropy
72, 0.9004746535029428, entropy
73, 0.9004746535029428, entropy
74, 0.9004746535029428, entropy
75, 0.9004746535029428, entropy
76, 0.9004746535029428, entropy
77, 0.9004746535029428, entropy
78, 0.9004746535029428, entropy
79, 0.9004746535029428, entropy
80, 0.9004746535029428, entropy
81, 0.9004746535029428, entropy
82, 0.9004746535029428, entropy
83, 0.9004746535029428, entropy
84, 0.9004746535029428, entropy
85, 0.9004746535029428, entropy
86, 0.9004746535029428, entropy
87, 0.9004746535029428, entropy
88, 0.9004746535029428, entropy
89, 0.9004746535029428, entropy
90, 0.9004746535029428, entropy
91, 0.9004746535029428, entropy
92, 0.9004746535029428, entropy
93, 0.9004746535029428, entropy
94, 0.9004746535029428, entropy
95, 0.9004746535029428, entropy
96, 0.9004746535029428, entropy
97, 0.9004746535029428, entropy
98, 0.9004746535029428, entropy
99, 0.9004746535029428, entropy
100, 0.9004746535029428, entropy

Best value of max_depth: 23
Best accuracy score: 0.9113897854566166
Best criterion: gini
